Date,Product_ID,Stock_Level,Sales,Stock_to_Reorder,Day_of_Week,Month,Anomaly_Pred
2025-04-17,P001,50,25.588688190808274,20,3,4,0
2025-04-18,P001,50,26.79385519751261,20,4,4,0
2025-04-19,P001,50,27.93545832283569,20,5,4,0
2025-04-20,P001,50,27.47485305457164,20,6,4,1
2025-04-21,P001,50,27.683897265308953,20,0,4,1
2025-04-22,P001,50,23.16693609135838,20,1,4,0
2025-04-23,P001,50,27.169789413830877,20,2,4,0
2025-04-24,P001,50,25.619305726552387,20,3,4,0
2025-04-25,P001,50,26.800715137697058,20,4,4,0
2025-04-26,P001,50,27.918560667459637,20,5,4,0
2025-04-27,P001,50,27.41911631809205,20,6,4,1
2025-04-28,P001,50,27.613079043267525,20,0,4,1
2025-04-29,P001,50,23.081036383767156,20,1,4,0
2025-04-30,P001,50,27.068808220679728,20,2,4,0
2025-05-01,P001,50,25.50324304785206,20,3,5,0
2025-05-02,P001,50,26.66957097344782,20,4,5,0
2025-05-03,P001,50,27.768352061431877,20,5,5,1
2025-05-04,P001,50,27.26492475584055,20,6,5,1
2025-05-05,P001,50,27.454904524786688,20,0,5,1
2025-05-06,P001,50,22.918878909064812,20,1,5,1
2025-05-07,P001,50,26.902667789759967,20,2,5,0
2025-05-08,P001,50,25.333119660707514,20,3,5,0
2025-05-09,P001,50,26.495464623520988,20,4,5,0
2025-05-10,P001,50,27.594245704922848,20,5,5,1
2025-05-11,P001,50,27.09081839276083,20,6,5,1
2025-05-12,P001,50,27.28079815515103,20,0,5,1
2025-05-13,P001,50,22.744772532863635,20,1,5,1
2025-05-14,P001,50,26.72856141191468,20,2,5,0
2025-05-15,P001,50,25.159013281211415,20,3,5,0
2025-05-16,P001,50,26.3213582489517,20,4,5,0
2025-05-17,P001,50,27.420139335281878,20,5,5,1
2025-05-18,P001,50,26.916712028044834,20,6,5,1
2025-05-19,P001,50,27.106691795361225,20,0,5,1
2025-05-20,P001,50,22.570662931443128,20,1,5,1
2025-05-21,P001,50,26.55444856395592,20,2,5,0
2025-05-22,P001,50,24.984897186715376,20,3,5,0
2025-05-23,P001,50,26.147238907900025,20,4,5,0
2025-05-24,P001,50,27.246016747686355,20,5,5,1
2025-05-25,P001,50,26.74258619390683,20,6,5,1
2025-05-26,P001,50,26.931453185676894,20,0,5,1
2025-05-27,P001,50,22.394314792764796,20,1,5,1
2025-05-28,P001,50,26.37699089627756,20,2,5,0
2025-05-29,P001,50,24.806329990030285,20,3,5,0
2025-05-30,P001,50,25.967562182207296,20,4,5,0
2025-05-31,P001,50,27.065230493011594,20,5,5,1
2025-06-01,P001,50,26.560690410234642,20,6,6,1
2025-06-02,P001,50,26.749557402002637,20,0,6,1
2025-06-03,P001,50,22.21241900908597,20,1,6,1
2025-06-04,P001,50,26.195095112592863,20,2,6,1
2025-06-05,P001,50,24.62443420635372,20,3,6,1
2025-06-06,P001,50,25.785666398537373,20,4,6,1
2025-06-07,P001,50,26.88333470932596,20,5,6,1
2025-06-08,P001,50,26.378794626553628,20,6,6,1
2025-06-09,P001,50,26.567661618318308,20,0,6,1
2025-06-10,P001,50,22.030523225407638,20,1,6,1
2025-06-11,P001,50,26.013199328914506,20,2,6,1
2025-06-12,P001,50,24.442538422668637,20,3,6,1
2025-06-13,P001,50,25.6037706148567,20,4,6,1
2025-06-14,P001,50,26.70143892566207,20,5,6,1
2025-06-15,P001,50,26.196898842875587,20,6,6,1
2025-06-16,P001,50,26.38576583465494,20,0,6,1
2025-06-17,P001,50,21.84862744172931,20,1,6,1
2025-06-18,P001,50,25.831303545240736,20,2,6,1
2025-06-19,P001,50,24.26064263899207,20,3,6,1
2025-06-20,P001,50,25.42187483118548,20,4,6,1
2025-06-21,P001,50,26.519543141976442,20,5,6,1
2025-06-22,P001,50,26.015003059194576,20,6,6,1
2025-06-23,P001,50,26.2038700509706,20,0,6,1
2025-06-24,P001,50,21.666731658050736,20,1,6,1
2025-06-25,P001,50,25.64940776155779,20,2,6,1
2025-06-26,P001,50,24.078746855315732,20,3,6,1
2025-06-27,P001,50,25.239979047494042,20,4,6,1
2025-06-28,P001,50,26.33764735829081,20,5,6,1
2025-06-29,P001,50,25.833107275522387,20,6,6,1
2025-06-30,P001,50,26.02197426729131,20,0,6,1
2025-07-01,P001,50,21.484835874372717,20,1,7,1
2025-07-02,P001,50,25.46751197788402,20,2,7,1
2025-07-03,P001,50,23.89685107164768,20,3,7,1
2025-07-04,P001,50,25.058083263824123,20,4,7,1
2025-07-05,P001,50,26.155751574616048,20,5,7,1
2025-07-06,P001,50,25.651211491832548,20,6,7,1
2025-07-07,P001,50,25.84007848361201,20,0,7,1
2025-07-08,P001,50,21.30294009069389,20,1,7,1
2025-07-09,P001,50,25.285616194210252,20,2,7,1
2025-07-10,P001,50,23.714955287962596,20,3,7,1
2025-07-11,P001,50,24.876187480143443,20,4,7,1
2025-07-12,P001,50,25.97385579092365,20,5,7,1
2025-07-13,P001,50,25.469315708163332,20,6,7,1
2025-07-14,P001,50,25.658182699932723,20,0,7,1
2025-07-15,P001,50,21.12104430701556,20,1,7,1
2025-07-16,P001,50,25.103720410531896,20,2,7,1
2025-07-17,P001,50,23.533059504286257,20,3,7,1
2025-07-18,P001,50,24.694291696462766,20,4,7,1
2025-07-19,P001,50,25.791960007259757,20,5,7,1
2025-07-20,P001,50,25.287419924473493,20,6,7,1
2025-07-21,P001,50,25.476286916248384,20,0,7,1
2025-07-22,P001,50,20.939148523336986,20,1,7,1
2025-07-23,P001,50,24.921824626851787,20,2,7,1
2025-07-24,P001,50,23.35116372060117,20,3,7,1
2025-07-25,P001,50,24.51239591278209,20,4,7,1
2025-07-26,P001,50,25.610064223574128,20,5,7,1
2025-07-27,P001,50,25.105524140801307,20,6,7,1
2025-07-28,P001,50,25.294391132579985,20,0,7,1
2025-07-29,P001,50,20.75725273965841,20,1,7,1
2025-07-30,P001,50,24.73992884316425,20,2,7,1
2025-07-31,P001,50,23.169267936933128,20,3,7,1
2025-08-01,P001,50,24.33050012911217,20,4,8,1
2025-08-02,P001,50,25.428168439899366,20,5,8,1
2025-08-03,P001,50,24.923628357129118,20,6,8,1
2025-08-04,P001,50,25.11249534889565,20,0,8,1
2025-08-05,P001,50,20.57535695597983,20,1,8,1
2025-08-06,P001,50,24.55803305949048,20,2,8,1
2025-08-07,P001,50,22.98737215324804,20,3,8,1
2025-08-08,P001,50,24.148604345430197,20,4,8,1
2025-08-09,P001,50,25.246272656224605,20,5,8,1
2025-08-10,P001,50,24.741732573439275,20,6,8,1
2025-08-11,P001,50,24.930599565221392,20,0,8,1
2025-08-12,P001,50,20.3934611723015,20,1,8,1
2025-08-13,P001,50,24.376137275805785,20,2,8,1
2025-08-14,P001,50,22.805476369562957,20,3,8,1
2025-08-15,P001,50,23.966708561760278,20,4,8,1
2025-08-16,P001,50,25.06437687254308,20,5,8,1
2025-08-17,P001,50,24.559836789767097,20,6,8,1
2025-08-18,P001,50,24.748703781537056,20,0,8,1
2025-08-19,P001,50,20.211565388623235,20,1,8,1
2025-08-20,P001,50,24.19424149213202,20,2,8,1
2025-08-21,P001,50,22.623580585894903,20,3,8,1
2025-08-22,P001,50,23.78481277806884,20,4,8,1
2025-08-23,P001,50,24.882481088868317,20,5,8,1
2025-08-24,P001,50,24.377941006089046,20,6,8,1
2025-08-25,P001,50,24.566807997852727,20,0,8,1
2025-08-26,P001,50,20.029669604944658,20,1,8,1
2025-08-27,P001,50,24.01234570845365,20,2,8,1
2025-08-28,P001,50,22.441684802209817,20,3,8,1
2025-08-29,P001,50,23.60291699439892,20,4,8,1
2025-08-30,P001,50,24.700585305193556,20,5,8,1
2025-08-31,P001,50,24.19604522241686,20,6,8,1
2025-09-01,P001,50,24.38491221417847,20,0,9,1
2025-09-02,P001,50,19.847773821265836,20,1,9,1
2025-09-03,P001,50,23.830449924775298,20,2,9,1
2025-09-04,P001,50,22.259789018533482,20,3,9,1
2025-09-05,P001,50,23.421021210729005,20,4,9,1
2025-09-06,P001,50,24.518689521507923,20,5,9,1
2025-09-07,P001,50,24.01414943873585,20,6,9,1
2025-09-08,P001,50,24.203016430494138,20,0,9,1
2025-09-09,P001,50,19.665878037587813,20,1,9,1
2025-09-10,P001,50,23.648554141096938,20,2,9,1
2025-09-11,P001,50,22.0778932348484,20,3,9,1
2025-09-12,P001,50,23.239125427036267,20,4,9,1
2025-09-13,P001,50,24.33679373784403,20,5,9,1
2025-09-14,P001,50,23.83225365505484,20,6,9,1
2025-09-15,P001,50,24.02112064682573,20,0,9,1
2025-09-16,P001,50,19.48398225390924,20,1,9,1
2025-09-17,P001,50,23.466658357423174,20,2,9,1
2025-09-18,P001,50,21.89599745117183,20,3,9,1
2025-09-19,P001,50,23.057229643366348,20,4,9,1
2025-09-20,P001,50,24.154897954151636,20,5,9,1
2025-09-21,P001,50,23.65035787137382,20,6,9,1
2025-09-22,P001,50,23.8392248631414,20,0,9,1
2025-09-23,P001,50,19.30208647023091,20,1,9,1
2025-09-24,P001,50,23.28476257374022,20,2,9,1
2025-09-25,P001,50,21.714101667495264,20,3,9,1
2025-09-26,P001,50,22.875333859674914,20,4,9,1
2025-09-27,P001,50,23.973002170476867,20,5,9,1
2025-09-28,P001,50,23.46846208770164,20,6,9,1
2025-09-29,P001,50,23.657329079467143,20,0,9,1
2025-09-30,P001,50,19.120190686552583,20,1,9,1
2025-10-01,P001,50,23.10286679006012,20,2,10,1
2025-10-02,P001,50,21.532205883818698,20,3,10,1
2025-10-03,P001,50,22.693438076004995,20,4,10,1
2025-10-04,P001,50,23.791106386791245,20,5,10,1
2025-10-05,P001,50,23.2865663040118,20,6,10,1
2025-10-06,P001,50,23.475433295798737,20,0,10,1
2025-10-07,P001,50,18.938294902873757,20,1,10,1
2025-10-08,P001,50,22.920971006381755,20,2,10,1
2025-10-09,P001,50,21.350310100142362,20,3,10,1
2025-10-10,P001,50,22.511542292324318,20,4,10,1
2025-10-11,P001,50,23.60921060310561,20,5,10,1
2025-10-12,P001,50,23.104670520342584,20,6,10,1
2025-10-13,P001,50,23.293537512119443,20,0,10,1
2025-10-14,P001,50,18.756399119195425,20,1,10,1
2025-10-15,P001,50,22.73907522270799,20,2,10,1
2025-10-16,P001,50,21.168414316465796,20,3,10,1
2025-10-17,P001,50,22.32964650864234,20,4,10,1
2025-10-18,P001,50,23.42731481944172,20,5,10,1
2025-10-19,P001,50,22.92277473666157,20,6,10,1
2025-10-20,P001,50,23.11164172843511,20,0,10,1
2025-10-21,P001,50,18.574503335516848,20,1,10,1
2025-10-22,P001,50,22.557179439034222,20,2,10,1
2025-10-23,P001,50,20.986518532780707,20,3,10,1
2025-10-24,P001,50,22.147750724961664,20,4,10,1
2025-10-25,P001,50,23.245419035756086,20,5,10,1
2025-10-26,P001,50,22.740878952980555,20,6,10,1
2025-10-27,P001,50,22.929745944755815,20,0,10,1
2025-10-28,P001,50,18.39260755183858,20,1,10,1
2025-10-29,P001,50,22.37528365535127,20,2,10,1
2025-10-30,P001,50,20.80462274911266,20,3,10,1
2025-10-31,P001,50,21.96585494129174,20,4,10,1
2025-11-01,P001,50,23.063523252081325,20,5,11,1
2025-11-02,P001,50,22.55898316930251,20,6,11,1
2025-11-03,P001,50,22.747850161071486,20,0,11,1
2025-11-04,P001,50,18.210711768160007,20,1,11,1
2025-11-05,P001,50,22.193387871677505,20,2,11,1
2025-11-06,P001,50,20.622726965427574,20,3,11,1
2025-11-07,P001,50,21.78395915761107,20,4,11,1
2025-11-08,P001,50,22.881627468399795,20,5,11,1
2025-11-09,P001,50,22.3770873856215,20,6,11,1
2025-11-10,P001,50,22.565954377397226,20,0,11,1
2025-11-11,P001,50,18.028815984481675,20,1,11,1
2025-11-12,P001,50,22.011492087988216,20,2,11,1
2025-11-13,P001,50,20.44083118175124,20,3,11,1
2025-11-14,P001,50,21.602063373941146,20,4,11,1
2025-11-15,P001,50,22.699731684725037,20,5,11,1
2025-11-16,P001,50,22.19519160194049,20,6,11,1
2025-11-17,P001,50,22.384058593712897,20,0,11,1
2025-11-18,P001,50,17.846920200803094,20,1,11,1
2025-11-19,P001,50,21.82959630431445,20,2,11,1
2025-11-20,P001,50,20.258935398074673,20,3,11,1
2025-11-21,P001,50,21.420167590249708,20,4,11,1
2025-11-22,P001,50,22.517835901050276,20,5,11,1
2025-11-23,P001,50,22.013295818268304,20,6,11,1
2025-11-24,P001,50,22.202162810044488,20,0,11,1
2025-11-25,P001,50,17.665024417124766,20,1,11,1
2025-11-26,P001,50,21.647700520636093,20,2,11,1
2025-11-27,P001,50,20.077039614398103,20,3,11,1
2025-11-28,P001,50,21.23827180657979,20,4,11,1
2025-11-29,P001,50,22.33594011736875,20,5,11,1
2025-11-30,P001,50,21.831400034596115,20,6,11,1
2025-12-01,P001,50,22.02026702636519,20,0,12,1
2025-12-02,P001,50,17.483128633445943,20,1,12,1
2025-12-03,P001,50,21.465804736957733,20,2,12,1
2025-12-04,P001,50,19.895143830713018,20,3,12,1
2025-12-05,P001,50,21.056376022897815,20,4,12,1
2025-12-06,P001,50,22.154044333683114,20,5,12,1
2025-12-07,P001,50,21.649504250915104,20,6,12,1
2025-12-08,P001,50,21.838371242685895,20,0,12,1
2025-12-09,P001,50,17.301232849767676,20,1,12,1
2025-12-10,P001,50,21.283908953273038,20,2,12,1
2025-12-11,P001,50,19.713248047027932,20,3,12,1
2025-12-12,P001,50,20.874480239217135,20,4,12,1
2025-12-13,P001,50,21.972148550019224,20,5,12,1
2025-12-14,P001,50,21.46760846723409,20,6,12,1
2025-12-15,P001,50,21.656475459001566,20,0,12,1
2025-12-16,P001,50,17.1193370660891,20,1,12,1
2025-12-17,P001,50,21.102013169599267,20,2,12,1
2025-12-18,P001,50,19.53135226335137,20,3,12,1
2025-12-19,P001,50,20.692584455536462,20,4,12,1
2025-12-20,P001,50,21.790252766333595,20,5,12,1
2025-12-21,P001,50,21.28571268355605,20,6,12,1
2025-12-22,P001,50,21.47457967531723,20,0,12,1
2025-12-23,P001,50,16.93744128241077,20,1,12,1
2025-12-24,P001,50,20.92011738591632,20,2,12,1
2025-12-25,P001,50,19.3494564796748,20,3,12,1
2025-12-26,P001,50,20.510688671854485,20,4,12,1
2025-12-27,P001,50,21.608356982658833,20,5,12,1
2025-12-28,P001,50,21.10381689988386,20,6,12,1
2025-12-29,P001,50,21.292683891637942,20,0,12,1
2025-12-30,P001,50,16.755545498732193,20,1,12,1
2025-12-31,P001,50,20.73822160224255,20,2,12,1
2026-01-01,P001,50,19.167560695998464,20,3,1,1
2026-01-02,P001,50,20.328792888173805,20,4,1,1
2026-01-03,P001,50,21.4264611989732,20,5,1,1
2026-01-04,P001,50,20.92192111619402,20,6,1,1
2026-01-05,P001,50,21.110788107979605,20,0,1,1
2026-01-06,P001,50,16.573649715053925,20,1,1,1
2026-01-07,P001,50,20.556325818564193,20,2,1,1
2026-01-08,P001,50,18.985664912313375,20,3,1,1
2026-01-09,P001,50,20.146897104503886,20,4,1,1
2026-01-10,P001,50,21.24456541529844,20,5,1,1
2026-01-11,P001,50,20.74002533252183,20,6,1,1
2026-01-12,P001,50,20.928892324295273,20,0,1,1
2026-01-13,P001,50,16.391753931375348,20,1,1,1
2026-01-14,P001,50,20.374430034890427,20,2,1,1
2026-01-15,P001,50,18.803769128645328,20,3,1,1
2026-01-16,P001,50,19.965001320812448,20,4,1,1
2026-01-17,P001,50,21.062669631616913,20,5,1,1
2026-01-18,P001,50,20.55812954884082,20,6,1,1
2026-01-19,P001,50,20.74699654061094,20,0,1,1
2026-01-20,P001,50,16.20985814769702,20,1,1,1
2026-01-21,P001,50,20.19253425121207,20,2,1,1
2026-01-22,P001,50,18.621873344960473,20,3,1,1
2026-01-23,P001,50,19.78310553714253,20,4,1,1
2026-01-24,P001,50,20.88077384794215,20,5,1,1
2026-01-25,P001,50,20.37623376516864,20,6,1,1
2026-01-26,P001,50,20.56510075693165,20,0,1,1
2026-01-27,P001,50,16.027962364018194,20,1,1,1
2026-01-28,P001,50,20.01063846752737,20,2,1,1
2026-01-29,P001,50,18.439977561292427,20,3,1,1
2026-01-30,P001,50,19.601209753472613,20,4,1,1
2026-01-31,P001,50,20.69887806425652,20,5,1,1
2026-02-01,P001,50,20.19433798148762,20,6,2,1
2026-02-02,P001,50,20.383204973258206,20,0,2,1
2026-02-03,P001,50,15.846066580339867,20,1,2,0
2026-02-04,P001,50,19.82874268384901,20,2,2,0
2026-02-05,P001,50,18.258081777607337,20,3,2,0
2026-02-06,P001,50,19.419313969791936,20,4,2,0
2026-02-07,P001,50,20.51698228059263,20,5,2,0
2026-02-08,P001,50,20.012442197800752,20,6,2,1
2026-02-09,P001,50,20.20130918958395,20,0,2,1
2026-02-10,P001,50,15.664170796661535,20,1,2,0
2026-02-11,P001,50,19.64684690017524,20,2,2,0
2026-02-12,P001,50,18.07618599393077,20,3,2,0
2026-02-13,P001,50,19.237418186120717,20,4,2,0
2026-02-14,P001,50,20.335086496907,20,5,2,0
2026-02-15,P001,50,19.83054641411974,20,6,2,1
2026-02-16,P001,50,20.019413405899613,20,0,2,1
2026-02-17,P001,50,15.482275012982958,20,1,2,1
2026-02-18,P001,50,19.464951116492298,20,2,2,0
2026-02-19,P001,50,17.894290210254205,20,3,2,0
2026-02-20,P001,50,19.05552240242928,20,4,2,0
2026-02-21,P001,50,20.153190713221367,20,5,2,0
2026-02-22,P001,50,19.648650630447552,20,6,2,1
2026-02-23,P001,50,19.837517622220318,20,0,2,1
2026-02-24,P001,50,15.300379229304937,20,1,2,1
2026-02-25,P001,50,19.28305533281219,20,2,2,0
2026-02-26,P001,50,17.712394426577635,20,3,2,0
2026-02-27,P001,50,18.873626618759364,20,4,2,0
2026-02-28,P001,50,19.971294929546605,20,5,2,0
2026-03-01,P001,50,19.46675484676951,20,6,3,0
2026-03-02,P001,50,19.655621838541027,20,0,3,1
2026-03-03,P001,50,15.118483445626113,20,1,3,0
2026-03-04,P001,50,19.10115954912924,20,2,3,0
2026-03-05,P001,50,17.53049864289255,20,3,3,0
2026-03-06,P001,50,18.691730835078687,20,4,3,0
2026-03-07,P001,50,19.789399145865076,20,5,3,0
2026-03-08,P001,50,19.284859063097326,20,6,3,0
2026-03-09,P001,50,19.473726054861732,20,0,3,1
2026-03-10,P001,50,14.936587661947785,20,1,3,0
2026-03-11,P001,50,18.919263765455472,20,2,3,0
2026-03-12,P001,50,17.348602859216214,20,3,3,0
2026-03-13,P001,50,18.509835051398003,20,4,3,0
2026-03-14,P001,50,19.607503362201186,20,5,3,0
2026-03-15,P001,50,19.102963279407483,20,6,3,0
2026-03-16,P001,50,19.291830271177396,20,0,3,1
2026-03-17,P001,50,14.754691878269208,20,1,3,0
2026-03-18,P001,50,18.737367981781702,20,2,3,0
2026-03-19,P001,50,17.16670707553113,20,3,3,0
2026-03-20,P001,50,18.327939267717326,20,4,3,0
2026-03-21,P001,50,19.425607578515553,20,5,3,0
2026-03-22,P001,50,18.921067495735297,20,6,3,0
2026-03-23,P001,50,19.109934487508994,20,0,3,1
2026-03-24,P001,50,14.572796094590942,20,1,3,0
2026-03-25,P001,50,18.555472198098755,20,2,3,0
2026-03-26,P001,50,16.98481129186308,20,3,3,0
2026-03-27,P001,50,18.14604348404741,20,4,3,0
2026-03-28,P001,50,19.243711794834027,20,5,3,0
2026-03-29,P001,50,18.73917171206311,20,6,3,0
2026-03-30,P001,50,18.92803870382466,20,0,3,1
2026-03-31,P001,50,14.390900310912365,20,1,3,0
2025-01-01,P002,50,15.313527148164919,20,2,1,1
2025-01-02,P002,50,19.85519749999852,20,3,1,1
2025-01-03,P002,50,18.551768331118478,20,4,1,1
2025-01-04,P002,50,19.596017714835998,20,5,1,1
2025-01-05,P002,50,20.897969064923622,20,6,1,1
2025-01-06,P002,50,18.931239187221635,20,0,1,1
2025-01-07,P002,50,19.748554803098987,20,1,1,1
2025-01-08,P002,50,15.921118396896588,20,2,1,1
2025-01-09,P002,50,20.46278874809234,20,3,1,1
2025-01-10,P002,50,19.159359578577845,20,4,1,1
2025-01-11,P002,50,20.203608961679684,20,5,1,1
2025-01-12,P002,50,21.50556031112772,20,6,1,1
2025-01-13,P002,50,19.538830426598363,20,0,1,1
2025-01-14,P002,50,20.35614603626991,20,1,1,1
2025-01-15,P002,50,16.528709623876264,20,2,1,1
2025-01-16,P002,50,21.07037996888106,20,3,1,1
2025-01-17,P002,50,19.766950793176616,20,4,1,1
2025-01-18,P002,50,20.811200170042916,20,5,1,1
2025-01-19,P002,50,22.113151514190637,20,6,1,1
2025-01-20,P002,50,20.14642163052772,20,0,1,1
2025-01-21,P002,50,20.963737241058762,20,1,1,1
2025-01-22,P002,50,17.136300829535063,20,2,1,1
2025-01-23,P002,50,21.677971175406906,20,3,1,1
2025-01-24,P002,50,20.374542000561473,20,4,1,1
2025-01-25,P002,50,21.418791386690877,20,5,1,1
2025-01-26,P002,50,22.720742739214067,20,6,1,1
2025-01-27,P002,50,20.754012863933777,20,0,1,1
2025-01-28,P002,50,21.57132848284292,20,1,1,1
2025-01-29,P002,50,17.74389207969951,20,2,1,1
2025-01-30,P002,50,22.285562433948698,20,3,1,1
2025-01-31,P002,50,20.982133267411623,20,4,1,1
2025-02-01,P002,50,22.02638265346168,20,5,2,0
2025-02-02,P002,50,23.328334005904555,20,6,2,1
2025-02-03,P002,50,21.36160413055475,20,0,2,1
2025-02-04,P002,50,22.17891974939594,20,1,2,1
2025-02-05,P002,50,18.351483348015314,20,2,2,0
2025-02-06,P002,50,22.893153704038276,20,3,2,0
2025-02-07,P002,50,21.589724539338686,20,4,2,1
2025-02-08,P002,50,22.633973927251304,20,5,2,0
2025-02-09,P002,50,23.935925281543998,20,6,2,1
2025-02-10,P002,50,21.969195408022106,20,0,2,1
